timestamp,tradeType,price,available_amount,min_single_trans,max_single_trans,payment_methods,nickName
2025-10-28T21:29:02.702826+00:00,SELL,1491.5,33.69,49000.0,49470.0,Lemon Cash,LinceX
2025-10-28T21:29:02.702837+00:00,SELL,1490.17,638.35,90000.0,951250.0,"Mercadopago, Lemon Cash, Uala, Banco Brubank",iandrewtate
2025-10-28T21:29:02.702846+00:00,SELL,1490.15,8990.0,800000.0,13396448.0,Lemon Cash,DarkHold_
2025-10-28T21:29:02.702853+00:00,SELL,1490.02,11401.0,4000000.0,16987718.0,Mercadopago,MMlacuevadelpueblo
2025-10-28T21:29:02.702863+00:00,SELL,1490.0,236.29,300000.0,352072.0,"Naranja X, Lemon Cash, Mercadopago, Bank Transfer (Argentina), Banco Brubank",lordnestt
2025-10-28T21:29:02.702871+00:00,SELL,1489.9,174.9,9000.0,260583.0,"Uala, Fiwind, Prex, Bank Transfer, Mercadopago",Gasti96
2025-10-28T21:29:02.702880+00:00,SELL,1489.55,348.05,100000.0,518437.0,"Mercadopago, Naranja X, Uala, Fiwind",Cuervo2326
2025-10-28T21:29:02.702887+00:00,SELL,1489.5,486.1,500000.0,724045.0,Mercadopago,FuriaLuminosa
2025-10-28T21:29:02.702896+00:00,SELL,1489.3,569.05,8000.0,847486.0,"Mercadopago, Lemon Cash, Naranja X, Prex, Belo app",CriptoPejo
2025-10-28T21:29:02.702904+00:00,SELL,1489.27,100.0,8000.0,30000.0,"Bank Transfer (Argentina), Banco Brubank, Mercadopago, Uala",AstonCapital
2025-10-28T21:29:02.702912+00:00,SELL,1489.2,7818.94,200000.0,11643965.0,Mercadopago,EQRCrypto
2025-10-28T21:29:02.702920+00:00,SELL,1489.14,800.19,200000.0,1191594.0,"Lemon Cash, Prex, Bank Transfer, Mercadopago, Banco Brubank",ema
2025-10-28T21:29:02.702928+00:00,SELL,1489.05,955.05,100000.0,1000000.0,"Banco Brubank, Bank Transfer (Argentina), Naranja X, Bank Transfer, Mercadopago",Cambio_d_plata
2025-10-28T21:29:02.702937+00:00,SELL,1489.02,398.15,30000.0,592853.0,Lemon Cash,Mrode_CARP
2025-10-28T21:29:02.702945+00:00,SELL,1489.01,360.08,100000.0,536162.0,"Lemon Cash, Mercadopago, Naranja X, Uala, Banco Brubank",VolumenExpress
2025-10-28T21:29:02.702953+00:00,SELL,1489.0,300.0,100000.0,446700.0,"Belo app, Naranja X, Mercadopago, Lemon Cash, Banco Brubank",mw-project
2025-10-28T21:29:02.702961+00:00,SELL,1489.0,1017.25,1000000.0,1350000.0,"Fiwind, Mercadopago, Banco Brubank, Naranja X, Lemon Cash",MirageCRIPTO94
2025-10-28T21:29:02.702969+00:00,SELL,1489.0,2450.0,70000.0,500000.0,"Fiwind, Mercadopago, Bank Transfer (Argentina), Banco Brubank",FerarielFX
2025-10-28T21:29:02.702977+00:00,SELL,1488.8,472.73,10000.0,703800.0,"Fiwind, Prex, Bank Transfer, Bank Transfer (Argentina), Uala",DamiCripto
2025-10-28T21:29:03.482517+00:00,BUY,1492.99,315.92,7840.0,470723.0,BBVA,HijosdeAbraham
2025-10-28T21:29:03.482559+00:00,BUY,1493.0,100.0,100000.0,149001.0,"Bank Transfer (Argentina), Banco Brubank",Tinlop
2025-10-28T21:29:03.482569+00:00,BUY,1493.0,72.85,8000.0,108547.0,"Mercadopago, Lemon Cash, Banco Brubank, Bank Transfer (Argentina), Uala",sergiocripto71
2025-10-28T21:29:03.482578+00:00,BUY,1493.0,100.0,7900.0,20000.0,Mercadopago,Leocandia
2025-10-28T21:29:03.482585+00:00,BUY,1493.0,167.75,50000.0,249950.0,"Naranja X, Mercadopago, Uala",Lukask12
2025-10-28T21:29:03.482594+00:00,BUY,1493.0,28.79,10000.0,42914.0,"Mercadopago, Uala, Lemon Cash, Bank Transfer (Argentina), Banco Brubank",Argentina-P2P
2025-10-28T21:29:03.482603+00:00,BUY,1493.0,100.0,140000.0,149061.0,"Mercadopago, Lemon Cash, Uala, Banco Brubank",MacheTrading 
2025-10-28T21:29:03.482612+00:00,BUY,1493.5,263.81,10000.0,150000.0,"Mercadopago, Uala, Lemon Cash, Banco Brubank, Naranja X",Full-Crypto76
2025-10-28T21:29:03.482621+00:00,BUY,1493.8,955.25,10000.0,1424104.0,"Bank Transfer (Argentina), Fiwind, Naranja X, Prex, Bank Transfer",DamiCripto
2025-10-28T21:29:03.482629+00:00,BUY,1493.9,189.89,200000.0,283223.0,"Bank Transfer (Argentina), Uala, Lemon Cash",ChessCrypto
2025-10-28T21:29:03.482637+00:00,BUY,1494.0,339.55,35000.0,506275.0,"Bank Transfer (Argentina), Wilobank, Naranja X, Banco del Sol",Kmarket
2025-10-28T21:29:03.482644+00:00,BUY,1494.0,41.16,50000.0,61394.0,Bank Transfer (Argentina),Intercambio
2025-10-28T21:29:03.482652+00:00,BUY,1494.0,311.99,10000.0,250000.0,"Naranja X, Mercadopago, Lemon Cash",chechamar74
2025-10-28T21:29:03.482661+00:00,BUY,1494.0,400.0,8000.0,596407.0,"Mercadopago, Naranja X, Banco Brubank, Lemon Cash, Prex",Mar_azul25
2025-10-28T21:29:03.482669+00:00,BUY,1494.1,378.21,100000.0,563955.0,"Mercadopago, Naranja X, Lemon Cash",FUendiagonal
2025-10-28T21:29:03.482677+00:00,BUY,1494.4,5775.06,400000.0,8618184.0,"Mercadopago, Lemon Cash, Banco Brubank, Bank Transfer (Argentina), Naranja X",Bnet450
2025-10-28T21:29:03.482685+00:00,BUY,1494.48,1278.89,100000.0,1908603.0,"Mercadopago, Banco Brubank, Lemon Cash, Bank Transfer (Argentina), Naranja X",Cassius_Clay
2025-10-28T21:29:03.482693+00:00,BUY,1494.5,303.42,30000.0,452736.0,"Mercadopago, Lemon Cash, Uala, Banco Brubank, Naranja X",TheCryptoTrade 
2025-10-28T21:29:03.482702+00:00,BUY,1494.8,1200.0,75000.0,480000.0,"Mercadopago, Lemon Cash, Banco Brubank, Naranja X, Uala",BETO280
2025-10-28T21:29:03.482710+00:00,BUY,1495.0,1156.07,50000.0,1725563.0,"Mercadopago, Lemon Cash, Reba, Belo app, Naranja X",---JESUCRIPTO---
2025-10-28T21:34:04.301799+00:00,SELL,1490.22,543.61,90000.0,810098.0,"Mercadopago, Lemon Cash, Uala, Banco Brubank",iandrewtate
2025-10-28T21:34:04.301840+00:00,SELL,1490.22,220.0,150000.0,327848.0,"Mercadopago, Lemon Cash, Banco Brubank, Naranja X",JRV_CRIPTO
2025-10-28T21:34:04.301851+00:00,SELL,1490.21,926.0,50000.0,1379934.0,"Mercadopago, Lemon Cash, Banco Brubank, Uala, Bank Transfer (Argentina)",CRIPTO-Lucas
2025-10-28T21:34:04.301859+00:00,SELL,1490.15,7753.49,800000.0,11553863.0,Lemon Cash,DarkHold_
2025-10-28T21:34:04.301866+00:00,SELL,1490.15,955.77,300000.0,1424240.0,Mercadopago,usdt-trandig
2025-10-28T21:34:04.301874+00:00,SELL,1490.05,348.05,100000.0,518611.0,"Mercadopago, Naranja X, Uala, Fiwind",Cuervo2326
2025-10-28T21:34:04.301881+00:00,SELL,1490.02,11401.0,4000000.0,16987718.0,Mercadopago,MMlacuevadelpueblo
2025-10-28T21:34:04.301889+00:00,SELL,1490.0,236.29,300000.0,352072.0,"Naranja X, Lemon Cash, Mercadopago, Bank Transfer (Argentina), Banco Brubank",lordnestt
2025-10-28T21:34:04.301897+00:00,SELL,1489.9,134.63,9000.0,200585.0,"Uala, Fiwind, Prex, Bank Transfer, Mercadopago",Gasti96
2025-10-28T21:34:04.301906+00:00,SELL,1489.5,486.1,500000.0,724045.0,Mercadopago,FuriaLuminosa
2025-10-28T21:34:04.301914+00:00,SELL,1489.3,545.55,8000.0,812487.0,"Mercadopago, Lemon Cash, Naranja X, Prex, Belo app",CriptoPejo
2025-10-28T21:34:04.301922+00:00,SELL,1489.3,1340.0,1000000.0,1995662.0,"Lemon Cash, Mercadopago, Uala, Belo app",Jesusfreitesm
2025-10-28T21:34:04.301930+00:00,SELL,1489.27,100.0,8000.0,30000.0,"Bank Transfer (Argentina), Banco Brubank, Mercadopago, Uala",AstonCapital
2025-10-28T21:34:04.301938+00:00,SELL,1489.21,101.44,100000.0,151065.0,"Banco Brubank, Bank Transfer (Argentina), Naranja X, Bank Transfer, Mercadopago",Cambio_d_plata
2025-10-28T21:34:04.301946+00:00,SELL,1489.2,2137.35,70000.0,500000.0,"Fiwind, Mercadopago, Bank Transfer (Argentina), Banco Brubank",FerarielFX
2025-10-28T21:34:04.301953+00:00,SELL,1489.2,6864.31,2000000.0,10222330.0,Mercadopago,EQRCrypto
